protocol_id,claim_id,protocol_type,working_directory,command,dependencies,input_hashes,expected_outputs,expected_exit_code,timeout,cpu_ram,success_criterion,procedure
PROTO-COMP-006,COMP-006,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile full --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for COMP-006 and verify the evidence anchor 01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json.
PROTO-COMP-007,COMP-007,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,9f15d39ac7df827849ba2d36feadfdb199519dca16c461defd47940a797eac94,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for COMP-007 and verify the evidence anchor 01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json.
PROTO-RANK-001,RANK-001,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for RANK-001 and verify the evidence anchor 01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json.
PROTO-RANK-002,RANK-002,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for RANK-002 and verify the evidence anchor 01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json.
PROTO-RANK-003,RANK-003,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for RANK-003 and verify the evidence anchor 01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json.
PROTO-RANK-004,RANK-004,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,adea49afaa6841359a0b1af9a2a457e06973c39d351c870f2a95b99139938d1c,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for RANK-004 and verify the evidence anchor 01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json.
PROTO-ASYM-001,ASYM-001,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-001 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-ASYM-002,ASYM-002,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-002 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-ASYM-003,ASYM-003,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-003 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-ASYM-004,ASYM-004,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-004 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-ASYM-005,ASYM-005,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-005 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-ASYM-006,ASYM-006,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,40b2b1d9d2549f0760c8a3229e09f84c4f1a6722b0ba8006247d2fb79f795131,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for ASYM-006 and verify the evidence anchor 01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md.
PROTO-JET-001,JET-001,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for JET-001 and verify the evidence anchor 01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md.
PROTO-JET-002,JET-002,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for JET-002 and verify the evidence anchor 01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md.
PROTO-JET-003,JET-003,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for JET-003 and verify the evidence anchor 01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md.
PROTO-JET-004,JET-004,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for JET-004 and verify the evidence anchor 01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md.
PROTO-JET-005,JET-005,computer_reproduction_or_structured_inspection,.,python3 -B 03_REPRODUCE/verify_immutable.py --profile quick --workspace <EXTERNAL_WORKSPACE> --jobs 1,ENVIRONMENT_LOCK.json; SHA256SUMS and manifest,3726468c6dc3704db6176815d3ee4b2b2dfbe881072d38c67d46ccdbd9d88fbb,external workspace logs and ATTESTATION.json,0 for automated profile; N/A human,quick: 20 min; full: 6 h reference ceiling; no silent timeout,default serial; document actual CPU/RAM externally,exit code 0 for the selected automated profile; any blocked external engine remains separately reported and is not converted into PASS.,Run from release root in a fresh external workspace; inspect the log for JET-005 and verify the evidence anchor 01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md.
