result_id,title,status,proof_status,novelty_status,evidence_path,limitations
COMP-006,"Pour I_3 en degré 6, le rang exact côté z·per_3 vaut 849 et le rang côté det_4 est au moins 6832 sur Q, certifié par un ",SEALED_CERTIFICATE_VALIDATED; FULL_REGENERATION_PROTOCOL_AVAILABLE,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,
COMP-007,Aucun des tests calculés dans cette branche ne fournit le saut de rang requis; tous les rangs certifiés sont plus faible,FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,La conclusion est limitée aux familles de flattenings et degrés explicitement calculés; elle ne prouve aucune inclusion de clôtures.
RANK-001,"Au point entier X*=((-2,-1,-1),(-1,1,1),(-1,1,1)), per_3(X*)=0 et det Hess(per_3)(X*)=-128, donc le bloc hessien 9×9 de ",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,
RANK-002,"Les rangs exacts du Hessien de det_4 sur les strates de rang matriciel 0,1,2,3,4 sont 0,0,4,8,16; le rang maximal sur de",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,
RANK-003,"Pour le covariant quotient-Fitting d’ordre 9, le rang augmenté vaut N pour det_4 et N+1 pour z·per_3, avec N=10 150 394 ",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,
RANK-004,Il en résulte [z·per_3] ∉ closure(GL_16·[det_4]).,PROOF_AND_CERTIFICATE_INCLUDED,textual_proof,not_a_novelty_claim,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,Ce cas fixé est ensuite identifié comme une instance de la borne quadratique hessienne connue; aucune nouveauté bibliographique n’est revendiquée.
ASYM-001,"Sur l’hypersurface det_n=0, le rang du Hessien est au plus 2n; les mineurs d’ordre 2n+1 sont donc divisibles par det_n.",TEXTUAL_PROOF_PLUS_FINITE_CHECKS,textual_proof,not_a_novelty_claim,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,Le script vérifie des cas finis; la généralité repose sur la preuve symbolique du rapport.
ASYM-002,"Pour X_m(t)=J_m+(t-1)E_11, per_m(X_m(t))=(m-1)!(t+m-1) et det Hess(per_m)(X_m(t))=K_m(t+m-3)^((m-2)^2), avec K_m non nul",TEXTUAL_PROOF_PLUS_MODULAR_FINITE_CHECKS,textual_proof,not_a_novelty_claim,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,
ASYM-003,"Pour F_{n,m}=ell^(n-m)per_m, le covariant critique Theta_{2n+1}(F_{n,m}) est non nul si et seulement si 2n<m^2.",TEXTUAL_PROOF_PLUS_FINITE_CHECKS,textual_proof,not_a_novelty_claim,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,
ASYM-004,"Si 2n<m^2, alors [ell^(n-m)per_m] ∉ closure(GL_{n^2}·[det_n]).",PROOF_INCLUDED,textual_proof,not_a_novelty_claim,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,
ASYM-005,La conséquence est la borne de complexité déterminantale bordée overline{dc}(per_m) ≥ ceil(m^2/2).,PROOF_INCLUDED_NO_NOVELTY_CLAIM,textual_proof,known_result_reconstructed,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,"La borne quadratique est connue; le paquet fournit une reconstruction/reformulation, pas une nouvelle borne."
ASYM-006,"La méthode est sharp pour ce covariant: à 2n=m^2 le mineur actif maximal est divisible par la forme paddée, et pour 2n>m",PROOF_INCLUDED,textual_proof,not_a_novelty_claim,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,
JET-001,"Pour n≥3 et 3≤t≤n, le flattening 1|(t−1) du t-ième jet de det_n au point diag(I_{n-1},0) a rang n^2.",TEXTUAL_PROOF_INCLUDED,textual_proof,not_audited_or_requires_independent_specialist_review,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,La preuve est mathématique; les scripts ne vérifient que le cas pilote.
JET-002,"Dans le cas det_4 contre ell·per_3, les rangs exacts des jets (ordre/split 2:1|1, 3:1|2, 4:1|3, 4:2|2) sont 8,16,16,36 c",FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,
JET-003,Les dimensions exactes des syzygies jacobiennes linéaires sont 30 pour det_4 et 101 brutes pour ell·per_3; après retrait,FRESH_REPRODUCTION_PASS,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,
JET-004,"Les premiers brins non saturés du graphe conormal ont été sondés modulo 1009, 10007 et 32003; les valeurs sont des borne",MODULAR_LOWER_BOUNDS_ONLY,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,Aucune séparation n’est déduite de ces sondes modulaires.
JET-005,Les Hessiennes supérieures brutes saturent déjà côté déterminant dès l’ordre 3; la piste recommandée devient la résoluti,PROVED_FIRST_PART_EXPLORATORY_SECOND_PART,certificate_or_audit_evidence,not_a_novelty_claim,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,Le formalisme conormal proposé n’est pas encore une nouvelle obstruction asymptotique.
