claim_id,project,statement,claim_type,proof_status,evidence_type,field,parameter_domain,finite_range,exact_or_modular,novelty_status,current_or_historical,supersedes,alias_of,status,evidence_paths,protocol_id,limitations
COMP-006,Hessien composé / Schur / Fitting,"Pour I_3 en degré 6, le rang exact côté z·per_3 vaut 849 et le rang côté det_4 est au moins 6832 sur Q, certifié par un rang modulo 1009.",theorem_or_corollary,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,mixed_exact_and_modular; modular values are lower bounds on Q unless exact certificate stated,not_a_novelty_claim,current,,,SEALED_CERTIFICATE_VALIDATED; FULL_REGENERATION_PROTOCOL_AVAILABLE,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-006,
COMP-007,Hessien composé / Schur / Fitting,Aucun des tests calculés dans cette branche ne fournit le saut de rang requis; tous les rangs certifiés sont plus faibles côté permanent paddé.,important_nonclaim_or_limit,certificate_or_audit_evidence,exact_or_modular_certificates,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/compound_hessian_schur_fitting/certificates/summary.json,PROTO-COMP-007,La conclusion est limitée aux familles de flattenings et degrés explicitement calculés; elle ne prouve aucune inclusion de clôtures.
RANK-001,"Renversement paddé (4,3)","Au point entier X*=((-2,-1,-1),(-1,1,1),(-1,1,1)), per_3(X*)=0 et det Hess(per_3)(X*)=-128, donc le bloc hessien 9×9 de z·per_3 est non nul sur son hypersurface.",computational_result,certificate_or_audit_evidence,textual_proof_plus_exact_witness,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,PROTO-RANK-001,
RANK-002,"Renversement paddé (4,3)","Les rangs exacts du Hessien de det_4 sur les strates de rang matriciel 0,1,2,3,4 sont 0,0,4,8,16; le rang maximal sur det_4=0 est 8.",computational_result,certificate_or_audit_evidence,textual_proof_plus_exact_witness,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,PROTO-RANK-002,
RANK-003,"Renversement paddé (4,3)","Pour le covariant quotient-Fitting d’ordre 9, le rang augmenté vaut N pour det_4 et N+1 pour z·per_3, avec N=10 150 394 132 736 000.",theorem_or_corollary,certificate_or_audit_evidence,textual_proof_plus_exact_witness,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,PROTO-RANK-003,
RANK-004,"Renversement paddé (4,3)",Il en résulte [z·per_3] ∉ closure(GL_16·[det_4]).,theorem_or_corollary,textual_proof,textual_proof_plus_exact_witness,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,COMP-007 seulement en dehors de la famille de tests bruts: le renversement apparaît après quotient par (f).,,PROOF_AND_CERTIFICATE_INCLUDED,01_CANONICAL/padded_rank_reversal/certificates/rank_reversal_summary.json,PROTO-RANK-004,Ce cas fixé est ensuite identifié comme une instance de la borne quadratique hessienne connue; aucune nouveauté bibliographique n’est revendiquée.
ASYM-001,Quotient-Fitting asymptotique,"Sur l’hypersurface det_n=0, le rang du Hessien est au plus 2n; les mineurs d’ordre 2n+1 sont donc divisibles par det_n.",computational_result,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,TEXTUAL_PROOF_PLUS_FINITE_CHECKS,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-001,Le script vérifie des cas finis; la généralité repose sur la preuve symbolique du rapport.
ASYM-002,Quotient-Fitting asymptotique,"Pour X_m(t)=J_m+(t-1)E_11, per_m(X_m(t))=(m-1)!(t+m-1) et det Hess(per_m)(X_m(t))=K_m(t+m-3)^((m-2)^2), avec K_m non nul.",theorem_or_corollary,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,mixed_exact_and_modular; modular values are lower bounds on Q unless exact certificate stated,not_a_novelty_claim,current,,,TEXTUAL_PROOF_PLUS_MODULAR_FINITE_CHECKS,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-002,
ASYM-003,Quotient-Fitting asymptotique,"Pour F_{n,m}=ell^(n-m)per_m, le covariant critique Theta_{2n+1}(F_{n,m}) est non nul si et seulement si 2n<m^2.",theorem_or_corollary,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,TEXTUAL_PROOF_PLUS_FINITE_CHECKS,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-003,
ASYM-004,Quotient-Fitting asymptotique,"Si 2n<m^2, alors [ell^(n-m)per_m] ∉ closure(GL_{n^2}·[det_n]).",theorem_or_corollary,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,PROOF_INCLUDED,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-004,
ASYM-005,Quotient-Fitting asymptotique,La conséquence est la borne de complexité déterminantale bordée overline{dc}(per_m) ≥ ceil(m^2/2).,computational_result,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,known_result_reconstructed,current,,,PROOF_INCLUDED_NO_NOVELTY_CLAIM,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-005,"La borne quadratique est connue; le paquet fournit une reconstruction/reformulation, pas une nouvelle borne."
ASYM-006,Quotient-Fitting asymptotique,"La méthode est sharp pour ce covariant: à 2n=m^2 le mineur actif maximal est divisible par la forme paddée, et pour 2n>m^2 tous les mineurs critiques s’annulent.",theorem_or_corollary,textual_proof,textual_proof_plus_finite_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,PROOF_INCLUDED,01_CANONICAL/asymptotic_quotient_fitting/report/theoreme_asymptotique.md,PROTO-ASYM-006,
JET-001,Programme jet–conormal,"Pour n≥3 et 3≤t≤n, le flattening 1|(t−1) du t-ième jet de det_n au point diag(I_{n-1},0) a rang n^2.",theorem_or_corollary,textual_proof,textual_proof_plus_exact_and_modular_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_audited_or_requires_independent_specialist_review,current,,,TEXTUAL_PROOF_INCLUDED,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,PROTO-JET-001,La preuve est mathématique; les scripts ne vérifient que le cas pilote.
JET-002,Programme jet–conormal,"Dans le cas det_4 contre ell·per_3, les rangs exacts des jets (ordre/split 2:1|1, 3:1|2, 4:1|3, 4:2|2) sont 8,16,16,36 contre 9,10,10,18.",computational_result,certificate_or_audit_evidence,textual_proof_plus_exact_and_modular_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,PROTO-JET-002,
JET-003,Programme jet–conormal,"Les dimensions exactes des syzygies jacobiennes linéaires sont 30 pour det_4 et 101 brutes pour ell·per_3; après retrait des 96 sommants triviaux dus aux six générateurs nuls, il reste 5.",theorem_or_corollary,certificate_or_audit_evidence,textual_proof_plus_exact_and_modular_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,FRESH_REPRODUCTION_PASS,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,PROTO-JET-003,
JET-004,Programme jet–conormal,"Les premiers brins non saturés du graphe conormal ont été sondés modulo 1009, 10007 et 32003; les valeurs sont des bornes inférieures de rang, non des égalités rationnelles automatiques.",computational_result,certificate_or_audit_evidence,textual_proof_plus_exact_and_modular_checks,complexity_geometry,"C, characteristic 0 where stated","case (4,3), selected bidegrees, primes 1009/10007/32003",mixed_exact_and_modular; modular values are lower bounds on Q unless exact certificate stated,not_a_novelty_claim,current,,,MODULAR_LOWER_BOUNDS_ONLY,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,PROTO-JET-004,Aucune séparation n’est déduite de ces sondes modulaires.
JET-005,Programme jet–conormal,"Les Hessiennes supérieures brutes saturent déjà côté déterminant dès l’ordre 3; la piste recommandée devient la résolution bigraduée de la Rees-algèbre jacobienne et les voisinages conormaux, décomposés par blocs de Schur.",computational_result,certificate_or_audit_evidence,textual_proof_plus_exact_and_modular_checks,complexity_geometry,"C, characteristic 0 where stated",,exact,not_a_novelty_claim,current,,,PROVED_FIRST_PART_EXPLORATORY_SECOND_PART,01_CANONICAL/jet_conormal_program/report/formalisme_jet_conormal.md,PROTO-JET-005,Le formalisme conormal proposé n’est pas encore une nouvelle obstruction asymptotique.
